algorithm,group,config,wP,wE,wB,population,mutationRate,seed,bestFitness,generationsRun,meanRank,workloadVariance,pctUnallocated,runtimeMs
ga,mutation,mutation-0.005,0.5,0.3,0.2,100,0.005,6,0.8053619286793576,236,1.338,6.421875,0,414
ga,mutation,mutation-0.005,0.5,0.3,0.2,100,0.005,7,0.8084536335371901,293,1.318,6.734375,0,503
ga,mutation,mutation-0.005,0.5,0.3,0.2,100,0.005,8,0.8052728424477943,222,1.328,6.234375,0,387
ga,mutation,mutation-0.005,0.5,0.3,0.2,100,0.005,9,0.8077402656008025,215,1.322,6.859375,0,376
ga,mutation,mutation-0.005,0.5,0.3,0.2,100,0.005,10,0.8057847018728804,273,1.31,6.859375,0,463
ga,mutation,mutation-0.005,0.5,0.3,0.2,100,0.005,11,0.803857094052403,251,1.334,6.546875,0,442
ga,mutation,mutation-0.005,0.5,0.3,0.2,100,0.005,12,0.803886878784055,170,1.32,7.359375,0,304
ga,mutation,mutation-0.005,0.5,0.3,0.2,100,0.005,13,0.8049334047393685,300,1.292,6.671875,0,512
ga,mutation,mutation-0.005,0.5,0.3,0.2,100,0.005,14,0.8045094000039464,245,1.322,6.421875,0,446
ga,mutation,mutation-0.005,0.5,0.3,0.2,100,0.005,15,0.8072504042339721,300,1.296,6.484375,0,518
ga,mutation,mutation-0.005,0.5,0.3,0.2,100,0.005,16,0.8078659707743847,264,1.336,6.734375,0,464
ga,mutation,mutation-0.005,0.5,0.3,0.2,100,0.005,17,0.8052605798213606,198,1.292,6.421875,0,350
ga,mutation,mutation-0.005,0.5,0.3,0.2,100,0.005,18,0.8038916362444622,233,1.32,6.296875,0,416
ga,mutation,mutation-0.005,0.5,0.3,0.2,100,0.005,19,0.8059208998975437,265,1.316,6.671875,0,451
ga,mutation,mutation-0.005,0.5,0.3,0.2,100,0.005,20,0.8088638230808697,274,1.316,6.421875,0,467
ga,mutation,mutation-0.005,0.5,0.3,0.2,100,0.005,21,0.8027849475340926,161,1.34,6.734375,0,285
ga,mutation,mutation-0.005,0.5,0.3,0.2,100,0.005,22,0.8046178902178196,183,1.332,6.421875,0,321
ga,mutation,mutation-0.005,0.5,0.3,0.2,100,0.005,23,0.8023369348896859,218,1.326,6.859375,0,369
ga,mutation,mutation-0.005,0.5,0.3,0.2,100,0.005,24,0.8058360435835935,300,1.308,6.171875,0,524
ga,mutation,mutation-0.005,0.5,0.3,0.2,100,0.005,25,0.8010122611974481,256,1.328,6.609375,0,433
ga,mutation,mutation-0.005,0.5,0.3,0.2,100,0.005,26,0.8057736734647414,173,1.306,6.484375,0,328
ga,mutation,mutation-0.005,0.5,0.3,0.2,100,0.005,27,0.8090263440488369,254,1.286,6.859375,0,438
ga,mutation,mutation-0.005,0.5,0.3,0.2,100,0.005,28,0.8063098697327128,300,1.332,6.546875,0,505
ga,mutation,mutation-0.005,0.5,0.3,0.2,100,0.005,29,0.8036101902026827,234,1.346,6.859375,0,401
ga,mutation,mutation-0.005,0.5,0.3,0.2,100,0.005,30,0.8033565962649256,300,1.332,6.796875,0,502
ga,mutation,mutation-0.05,0.5,0.3,0.2,100,0.05,1,0.7582388428662042,137,1.622,6.296875,0,428
ga,mutation,mutation-0.05,0.5,0.3,0.2,100,0.05,2,0.7575595606627193,106,1.526,6.671875,0,331
ga,mutation,mutation-0.05,0.5,0.3,0.2,100,0.05,3,0.7559410253298531,81,1.534,5.796875,0,259
ga,mutation,mutation-0.05,0.5,0.3,0.2,100,0.05,4,0.7583827595918253,84,1.594,7.734375,0,264
ga,mutation,mutation-0.05,0.5,0.3,0.2,100,0.05,5,0.7536299932344486,68,1.59,7.484375,0,219
ga,mutation,mutation-0.05,0.5,0.3,0.2,100,0.05,6,0.7582696987498682,114,1.55,6.296875,0,361
ga,mutation,mutation-0.05,0.5,0.3,0.2,100,0.05,7,0.7571229327230822,138,1.562,8.234375,0,454
ga,mutation,mutation-0.05,0.5,0.3,0.2,100,0.05,8,0.7580675512207321,156,1.564,7.234375,0,516
ga,mutation,mutation-0.05,0.5,0.3,0.2,100,0.05,9,0.756247065824093,106,1.572,9.421875,0,347
